Year,Quarter,Employed Males,Employed Females,Saudi Employed Males,Saudi Employed Females,Non-Saudi Employed Males,Non-Saudi Employed Females,Saudi Job Seekers Males,Saudi Job Seekers Females,Unemployed Males,Unemployed Females,Saudi Unemployed Males,Saudi Unemployed Females,Non-Saudi Unemployed Males,Non-Saudi Unemployed Females,Average Monthly Wages,Average Monthly Wages Males,Average Monthly Wages Females,Saudi Average Monthly Wages,Saudi Average Monthly Wages Males,Saudi Average Monthly Wages Females
2018,1,11522764,2058377,2080601,1083245,9442163,975132,175313,911248,382500,443928,347417,425801,35083,18127,6093.011093,6080.478463,6177.415682,9939.325367,10160.03749,8995.31316
2017,4,11710474,2047590,2035745,1027999,9674729,1019591,190822,1040727,367551,418960,338071,407077,29480,11883,6119,6102,6238,10012,10133,9440
2017,3,11807702,2033456,2029786,1022663,9777916,1010793,216352,859581,379320,423268,333758,402563,45562,20705,6194.736951,6153.684498,6506,9910.831884,10056.74486,9199.842631
2017,2,11880904,2008233,2021865,1017080,9859039,991153,219017,687535,359737,416257,324872,398038,34865,18219,5959,5973,5866,9884,10017,9240
2017,1,11935646,2009086,2042114,1019283,9893532,989803,177573,739990,291761,473064,266924,458803,24837,14261,6303,6372,5867,10045,10204,9261
2016,4,11935646,2009086,2042114,1019283,9893532,989803,177573,739990,,,,,,,,,,,,
2016,3,11187381,1941129,4439961,1275402,6747420,665727,,,,,,,,,,,,,,
2016,2,10297035,2088244,4409138,1252416,5887897,835828,,,,,,,,,,,,,,
2016,1,10297035,2088244,4409138,1252416,5887897,835828,,,,,,,,,,,,,,
2015,4,10143394,2021438,4390322,1232793,5753072,788645,,,,,,,,,,,,,,
2015,3,10143394,2021438,4390322,1232793,5753072,788645,,,,,,,,,,,,,,
2015,2,10027142,1885067,4384137,1207426,5643005,677641,,,,,,,,,,,,,,
2015,1,10027142,1885067,4384137,1207426,5643005,677641,,,,,,,,,,,,,,
2014,4,9889791,1849512,4379347,1198142,5510444,651370,,,,,,,,,,,,,,
2014,3,9889791,1849512,4379347,1198142,5510444,651370,,,,,,,,,,,,,,
2014,2,9766814,1833610,4352792,1192969,5414022,640641,,,,,,,,,,,,,,
2014,1,9766814,1833610,4352792,1192969,5414022,640641,,,,,,,,,,,,,,